scheme_code,scheme_name,fund_house,category,sub_category,risk_grade
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Equity Scheme - Large Cap Fund,Very High
119551,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Equity Scheme - Large Cap Fund,Very High
120503,ICICI Prudential Bluechip Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Equity,Equity Scheme - Large Cap Fund,Very High
118632,Nippon India Large Cap Fund - Direct Plan - Growth,Nippon India Mutual Fund,Equity,Equity Scheme - Large Cap Fund,Very High
119092,Axis Bluechip Fund - Direct Plan - Growth,Axis Mutual Fund,Equity,Equity Scheme - Large Cap Fund,Very High
120841,Kotak Bluechip Fund - Direct Plan - Growth,Kotak Mutual Fund,Equity,Equity Scheme - Large Cap Fund,Very High
